Text,Original Classifier,Bayes Classifier
Check 99 glow deals buy 2 get 5 serum kit radant resurfating retinal cysteamine serum 30 ml serum ensex skin is missing ceremonous retinol laser effect reflectal skittare price rp224000 can now,Negatif,Positif
Selling one-night stands for the moon.,Netral,Netral
Check 99 glow deals buy 2 get 5 serum kit exosome winestack elevator regenerating clinic serum treatment serum salmon dna amp hifu reulting plumpy collagen serum essenses skin rp218500,Netral,Netral
"If I get dizzy, I'm gonna have to put some skincare on. None of this fits. So I broke up, Consulll.",Netral,Netral
So many black marks. So many faces. How would you drive acne out of my life?,Positif,Positif
stilltuhskincare to makeuptoo,Netral,Netral
All of a sudden you're making your own skincare.,Positif,Netral
Hello gaiss. I'm preloved. Some stuff is in a bag.,Netral,Netral
usdt alone na skincare,Netral,Netral
Hi gais I'm preloved some stuff using a bag of skincare amps Japanese haircare too check my profile yes,Netral,Netral
"Mom, I really want you to work on the skittres. I want you to do your job for real. I've been with my mom for a long time.",Positif,Positif
wkkkkwgo on lanjot printlan uh premightbe cool takethe jacket uh willleave takethe skincare makeupintakethe mirror therethe mirror gamgmg almost forgot =,Positif,Positif
Love can't buy skittare.,Positif,Netral
go again needneed admin hold sosmed recap packing reach out i please nature holds 2 go that has a business need of admin i'm nature customer stuff about taking hold of the skincare store ranchise kpop,Netral,Positif
alhamdulill safeallthere extendedevenskincaresstillokay,Netral,Netral
Anhaa acha nikalanike tu mavaseline Yangu kwa kweli kumaintain skincare na mental health yangu hasviendani kabsa,Negatif,Negatif
"If I'm personally 10jtcm to eat the moon, pay for the electric wifi, the softlens skincare money is different from my father's pocket. Just point in the flip-flops from my father's pocket to the parents' house eating fancy eating out of the husband's money.",Netral,Netral
10jt deals with anything to pay for wifi's electricity giving a wife's wife's allowance too for a month's meal. What's just to eat for a month.,Netral,Netral
recommendations for voucher code discount promo flash sale checkout shopping for poison shopee 9 September 99 super shopping day big scale flashsale all around rp99 iphone skincare makeup cooker claims discount voucher,Positif,Positif
stall extremelyskincare alreadyborong,Netral,Netral
recommendations for voucher code discount promo flash sale checkout shopping for poison shopee 9 September 99 super shopping day big scale flashsale all around rp99 iphone skincare makeup cooker claims discount voucher,Positif,Positif
jealous male gf cook for schincare routine,Netral,Netral
breakouttswitha normalskincare and evenbrought up acne that'swhyifyes that'swhenitmean that'slike oneofyourshaveaacare activesusemore,Netral,Netral
Skincare was deliberately putting mattresses together.,Netral,Netral
Halloo wants to ask her between emina and azarine. It's good to skincare young oily skin acne. It's easy to break out the product too.,Positif,Positif
Real tits need serious skittare.,Negatif,Netral
"My dear, here with azarine, don't recommend a teenage skin-skin skincare. It's easy to break out.",Positif,Positif
quqa spil skincare her qaqa,Netral,Netral
I don't want you to get rid of acne of normal hormones. Why don't you get it over with?,Positif,Positif
Need a geh treatment suggestion. It fits once a month. Plus the clinic recommendations are friendly.,Positif,Positif
Look at jimin's skin. Beautiful. That's Mrs. Diamond Skincare.,Positif,Netral
already pw sleeping mlsssskincarean whateverskippingyes ckck,Netral,Netral
"Yeah, one of the real hosts. Skincare shopee bitches are crazy, and the price of his balls is so much compared to the cheap priced product because the ingredients are different. Answer the polite tone.",Positif,Positif
I'm going to have a skincare.,Netral,Netral
Oiallunairitsupn college upn Se surabaya pleden websvaganza25 octobergalaxy mall pleasepanit month ready ready ready eehehehehehehehehuh letsrushhourskinccare makeupp,Positif,Positif
wanttogetthe price ofskincare mytreatment fiveyearsold forbuyahuh shibalseya,Netral,Netral
allthe price ofskincare amps kg priceup yes whateverasasa me,Netral,Netral
remember the purchase is not just a book need a primary schincare bowl,Positif,Positif
I've got tears in my skin.,Netral,Netral
wts bodycare skincare product 100 ori official store price murcee apa via oren yaa want dm for price,Netral,Netral
aga ak consistent workfullyskincarean,Positif,Netral
97 different fates different life patterns different skincares different nationalities,Netral,Netral
Skincare recommendation exfoliation peeping solution starting 14k a thread,Netral,Netral
voucher promo halodoc free cashback discount. Consulcbj4n5 vitamin skincare drug cbet 8gd homecare hldxhomecaregvox haloskin haloskinj75,Positif,Positif
Just pay the rent for the transport.,Netral,Netral
You can get no skincare.,Netral,Netral
gin don't forget 99 in case you want co skincare,Netral,Netral
Skincare shopping was seduced dino aa salting,Netral,Netral
articlethisisgoodread Hahahahaha ifit'swrong rejuran nwafordaytucomonly thisthing sobbbbtu i assi i assi Ithinkthismassensely,Positif,Positif
Minnn has a student recommendation. The face of oily skin acne is as easy as breaking out.,Positif,Positif
Let's find the skincare for tomorrow's event.,Netral,Netral
Oga istiqamah yes industriouslyskincare face lovea bodylosion asa bodylosion suddenly,Netral,Netral
"To be honest, if I'm wearing a skincare, it's itchy. All brands are az. They're cheap.",Positif,Positif
Belmilga Idon 'tmakeolga afterthis mayan spancaresumup makeup for mangatsssschell,Netral,Netral
bihar king ritik using skittare in nalasopara,Netral,Netral
Let's find the skincare while we're at 99.,Netral,Netral
spill skincare routine ji anjg glowing bgt co,Netral,Netral
Looking for Skincare. Help me with the black stains.,Negatif,Netral
Can't you see it's getting clear in your skincare?,Positif,Positif
Want co skincare,Netral,Netral
swearthe most epic moment tostock needstheshop lazada99 sale want electronics sinkareallwar prices,Positif,Positif
"You know, the last three were really good at events. You know, I was really trying to make some skincare. Uh, when anying melia prospered when I came in, I was all right.",Positif,Positif
Buy lots of skincare sm makeup indo because India is expensive,Negatif,Netral
What a shame. Look at the boy for command. Now he has a vice president.,Netral,Netral
shopping lazada99 sale right skincare kuuii abiss nih end macacii lazduttt,Positif,Positif
You're asking me to tell you the event is all I'm saying is that any one of you will believe me about a war event. That's why I've been invited so much fun.,Positif,Positif
"Lazada99 sale has made me so uncomfortable that after Skincare daily, I've been thinking about the budget. Thanks to the voucher bonus brands sd 990rb.",Negatif,Negatif
Wts skincare ex old 2027 co oren send batam check prices down here,Negatif,Positif
waaso happy manysskincaresareso cheap ifthe shoppinglazada99ssale about thevoucher bonus sd 990rb but dear wheninlayedIwanttoloadmuch,Positif,Positif
originald monday yes gedebag Gedebug sothe morningclass keephome resinroom allcooksin hours basincontinuesund Batub all bodycareskincare willhelp I,Netral,Netral
"I'm really trying to get a blanket up by the time I see it and then I'm going to run into zoebslipsvopa alhamdulillah. Thank you, Zerose.",Positif,Positif
wtsssinaskincareunderprice this guisssssuse vocxtratttgl10gamurce mousebluce bgtbgtbgtbuttstockofstockonlyoftpcs don'tcallfirst,Netral,Netral
Moell hair care hair lotion 100ml amp shampoo 185gr grow a dense amp baby hair amp panax ginger kemiri biotin skincare baby baby baby baby hairs for the price of rp25000 discount rp123000,Netral,Netral
fast skittare from karm to sultry face,Positif,Netral
I'm so tired of skincare an ak mw pair.,Negatif,Netral
Need to buy god skittare,Netral,Netral
buyskincare firstbookfirst oh moga Imuchmoneyaamiin letfirst buytwoneed tothink dangding,Netral,Netral
On a skincare shopping lazada99 sale where crazy brand mega offer discount sd 90 don't stay,Negatif,Positif
Skincare is delicious. It's good. It's good.,Positif,Netral
I've proven to myself that the price of skincare is down at best. Lazada99 sale.,Positif,Positif
That nu capital mutitipi by bettet buy sunscreen skincare wa back and forth Japan if a friend goes to Japan nitip skincare,Netral,Netral
Two hundred thousand already got 4 skincare lacoco free paints if you don't come here ya'll take 1200 1500 start September 9th.,Positif,Positif
I've been waiting to buy lazada99 sale while lazada 99 mega brands sale There's going to be a voucher bonus sd 990rb crazy brand mega offer fiskon sd 90 even 100 for free,Negatif,Negatif
Beeme nourishing balm schincare child's mother price of rp85000 price discount Rp684898,Netral,Netral
99 co what weaaaaaaaa makeup skincare books,Netral,Netral
If you want cheap skincare ori mending shopping lazada99 sale only,Positif,Positif
That crazy mega-offer discount sd 90 fix shopping lazada99 sale Who knows how much lazmall skincare,Negatif,Positif
timeborongs /ncare well well well songskincare well well well shoping lazada99 salevoler bonus sd 990rb wasf more afraidof wasteful,Positif,Positif
timeborongs /ncare well well well songskincare well well well shoping lazada99 salevoler bonus sd 990rb wasf more afraidof wasteful,Positif,Positif
When indonesia to free skincare,Positif,Netral
"Didn't expect the price of skincare to go down. Gin really makes it happy if you want to borrow good stuff. Clearly, lazada99 sale worth it badly.",Positif,Positif
wantsto ask seriously senderwantto drink gummy colagen that'sthe productforskincare dalem reallytryingtomakeit whentheypleaserecommenting t,Negatif,Netral
whynotpaintedskincare notso cute?,Positif,Netral
I swear to you that the price of murce is Murce try to join the life of the mother sarwendah there gildda her price is 50 discs.,Netral,Positif
"I'm paying a salary. Um, giving the parents 69. 19.",Netral,Netral
ifyoulookat thisskincareshop thisissent right ifyoulookatthe shop sentontime,Positif,Positif
Lazada 99 mega brands sale don't forget the crazy brand mega offer discount sd 90.,Negatif,Positif
"Now, if you buy a Skincare wife's mending shopping lazada99 sale just lazmall voucher 20 hasn't entered.",Netral,Positif
no mut mut schincare malem moist toner,Netral,Netral
Hello guys while I can 99. I'm selling skincare makeup. Hrga undrprice dom used.,Netral,Netral
You're offered a sample of skittare. It's a lonely road. Don't take pls.,Negatif,Netral
Okie stop first get the focus book buy the skincare sm bodycare already,Positif,Positif
I said I can't see gin looking for a box of skittare.,Netral,Netral
shadowlooking Ap pretty what oh Igirlmls right moskincarean makeup Imostlywear lipstick,Positif,Netral
Almost a year of skincare. Now start taking care of yourself. yuhuuuuuuuuuuuuuuuuuuuu,Netral,Netral
Icanuseskincare No kka,Netral,Netral
Miss ancient twitters where many of the skittare's tutorials are not affiliate,Positif,Positif
# Skincare toothcare asasuselisterinebaby,Netral,Netral
skincare unt fine texture nkk,Positif,Netral
I've been here before. Four pimples and a sense of crazy all over the night. Real night needs to check 'cause I used to consult a halodoc doctor using a Consulcbwynfs code to buy vitaminskiscared with a drugcblhy0r code.,Negatif,Positif
wearupnewknow Ibjirr asonlyusessSunscreen withsinsuncare know,Netral,Netral
ifyou're on a specialdate thinksonlyone shop lazada99 salemimanim needsaskincarehouse until the gadget buysthe price of promo plus get 100-free benefits whonotgiur,Netral,Netral
"In fact, the pimples of the real chin are normal because the skin is adapting. I'm late. Consul Halodoc is practically chat.",Positif,Positif
Far be it from me. Skincare advice.,Positif,Netral
facematchedwithsskincare extreme alreadyrepurchase,Negatif,Netral
Understand. It's frustrating. Sometimes the skitters are a match.,Negatif,Positif
"Oh, my God. I'm dry. I'm so sick.",Negatif,Netral
There's nothing to it. It's just really the basics of the skincare.,Positif,Positif
Pick out an electronic war war war war suit. I prefer war sheets about color. It's like brash.,Negatif,Netral
productstongtang honestlysomehow resist ifskincareluamaaa extended,Netral,Netral
thatday2kkl one professoryyacannotchangethefirstday at 400amback so thenat 10ndaninetime myfriend'sclassbomb thereweresotwokaowschool Iwanttoskincarean,Netral,Netral
Looking for Skincare. Help me with the black stains.,Negatif,Netral
20s and udh need retinal. Let's keep our faces young in this economy. Anything's stressing antiaging skittare is a need.,Positif,Netral
Acne tots every day get tired if pimples don't heal sometimes acne needs a combination of skincare recipes to finish I'm going through the end of Consul spkk halodic saves with Consulcwynfs for the consul drugcblhy0r for medicine,Negatif,Negatif
It's expensive now. I don't buy. Lazada99 sale crazy brand mega offer.,Negatif,Positif
Want to share the store's recommendations for skincarebeauty product or iii,Netral,Netral
I know very much. I bought a skincare lazada because of 100 free vouchers. Bonus sd 990rb let's go to lazada99 sale.,Positif,Positif
wts sell skincare goods The original seal ofc store evidence buy after voc prices,Positif,Netral
Brututsan arrived in panic because the skincare didn't match the diet or skin barrier drop. I used to have an amp worsening due to trying to try the final random product. Consul spkk halodoc saves a lot of money because it used the Consulcbwynfs code for the consul amp drugblhy0r for medicine.,Negatif,Negatif
yyyyy so happy shopping lazada99 sale Sale wantto buysssincareso it's cheaper,Positif,Positif
Brututsan jidat emg infuriated because skin barriers damaged stress products I had become worse,Negatif,Positif
"My love, I love you.",Positif,Netral
Night 99. I'm trying not to eat a cash-expensive review. Buy money.,Netral,Netral
That's right. I checked to buy a skincare. Got a big mantaap discount.,Positif,Positif
greatbottles findingemptypack nowbegins bottledsofskincare bottle until the chemical containers are all complete hereall shoppingis easier shopee,Positif,Netral
Lazada99 sale is making wishlist skittare safe sentosa lazmall voucher 20 100 free just click the impi directly,Positif,Positif
"scroll Olshop unboxing package clean stacks room polishing tool makeup neatin rack skincare makeup if you like to take care of your roommate if you go and get your closet clothes, etc.",Positif,Positif
worthto try verydirty searchsskincare onetime buyajeanjaa,Netral,Netral
Check 99 glow deals wardah uv shield acne calming sunscreen moisturizer spf 35 pa komedo actic skin acne of light gel texture textures easy to resap skincare price of rp38500 can now shopee,Positif,Positif
Skincare is in the final step. I feel like a lapaaarrrrrr,Netral,Netral
I'm doing some lazada99 sale. It's about crazy brand mega offer.,Negatif,Positif
"Okay. From now on, I don't want to get propaganda. Buy some skincare reviews.",Positif,Netral
Got this makeup skincare nich.,Netral,Netral
What's skincare shopping for free? 100 plus voucher bonus sd 990rb just at lazada99 sale legit is bad.,Negatif,Positif
Check wardah uv shield hydrating sunscreen all series spf 35 spf 50 schincare sunscreen face price rp29900 can shopee now,Netral,Positif
"In a row of days, young olives didn't get the skincare to buy a day6 decade album. Open the suit. What are you talking about?",Positif,Positif
Skincare when you're with me.,Netral,Netral
Sell skincare cheap makeup start from 10k the new preloved interests dm,Positif,Positif
Buy siccare beb keep powdering ultime ii anjay,Netral,Netral
process out of skincare amp makeup ready pastu new bought new,Positif,Netral
What's skincare shopping for free? 100 plus voucher bonus sd 990rb just at lazada99 sale legit is bad.,Negatif,Positif
Hello. I'm sorry. My guy's newbie.,Negatif,Netral
It's a waste day. It's a waste of money. There's no such thing as broken goods.,Negatif,Netral
"But he doesn't make acne. It's worse to control the oil. It's about making ss brands, but it's bad.",Negatif,Positif
end up shopping for lazada99 sale mega brands sale bonus sd 990rb crazy brand mega offer discount sd 90 free sd 90 lazmall voucher 20 pretty much got to buy a pretty auto,Positif,Positif
What's skincare shopping for free? 100 plus voucher bonus sd 990rb just at lazada99 sale legit is bad.,Negatif,Positif
shelves makeupskincare ifyouneedaplace simplesizesjumbogass buyshelfspace bright songsskincarebong willbein safe surable materialstuppositerap skincare more,Positif,Netral
Almost skincare is pretty good if the price goes down by,Positif,Positif
Sell new preloved skittare cheap start from 10k just negotiate thin via,Positif,Positif
voucher halodoc semenc septem healthy. Safe budget remain calm. Consulal doctorcbwynfs vitamin sics skincare drugcblhy0r mcu lab IV vit vaccine hldxhomecareggfx haloskin freeikir halokinaffox51 save now.,Positif,Positif
richskincare youdon 'tmatchthedeprivedhallaboutme skintypenormaltooil butthetimeto changethemoistagainst he'sbackagain good againnotdry,Positif,Netral
Every night his skincare tears,Netral,Netral
uh want to buya tumbler zus for 50 basket ifyouwantssskincare keeptakemy moneyhhhh,Netral,Netral
sensitive eye is more calming skittare vibes aloe vera green tea with peptides fast-resulted ragunzels. It takes four eight weeks to be at best comfortable wearing daily especially. If your eyes are easily irritant this one feels safer.,Positif,Positif
Hi. I'd like to sell the under-official store. Far away.,Positif,Positif
It's fun. It's bonus sd 990rb if it's lazada99 sale checkout skincare satisfied if gin mahhh,Positif,Positif
Don't forget to always sleep down at 11 in case you eat less sugar oil flour with expensive skincares. It's important that you change your skincare.,Negatif,Positif
Why don't you have a little skincare?,Negatif,Netral
Skincare recommendations for seeing pimples like this.,Netral,Netral
"Don't panic. It's too boring. It's too late, dear.",Negatif,Netral
"Hello, brother. Hello. One minute, Salfok.",Netral,Netral
search for keytock accounts for affiliate skincare,Netral,Netral
I'm trying to frame the skins of young amps. It's real bright. It's the first skincare with 3rd biosynthesize collagen.,Positif,Positif
"Come on, guys. Buy me back. Last time.",Netral,Netral
"I don't want to go to bed for an hour or so. The new alarm hasn't sounded yet. But the last time I set the alarm, it didn't hear the alarm coming.",Positif,Positif
Iron shelves match the frame under the table table so it doesn't seem empty not to eat the front seat with wheels for the back two solid wheels load a lot of stuff. I used to use it to cover the skincare amp makeup.,Negatif,Negatif
Hi. I'm open jatytip. Help co taobao xianyu pinduoduo web.,Netral,Netral
The patient sabaarr just yesterday gaveaway to the schincare package,Netral,Netral
Free skincare buddy.,Positif,Netral
print dus skincare e flute dus skittare e chocolate flute where packaging perfume flute perfume packaging e flute packing sample dus e flute manufacturer dus dus file the file file file file producer near the file price manufacturer,Positif,Positif
If a boarding boy like me is as important as shopping. Lazada99 sale. Saves out.,Positif,Positif
Want 99 Let's poison the bodycare hair care,Netral,Netral
service for the perfume dus for the perfume dus eflute cardboard material e flute production dus skincare box a1 e flute cardboard producer archive producer print cardboard archive producers,Netral,Netral
ifthe font font font font FFFF00 font font FFFF00if font font font font font font font font font font font font fontif font font ifr font FFFF00 font font font font font font font font font font font FFFF00 font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font font,Netral,Netral
aahhbad very good skincarean well aahhbad bad is well Iseethekidsupportcontinued loveas much,Positif,Positif
I ca npure. I'm where I'm going. I'm trying to find ATEez najiiiisss.,Netral,Netral
Want to buy a skincare lazada 99 mega brands sale,Netral,Netral
Lazmall voucher 20 is for you to shop for lazada99 sale yaa impatient checkout skincare noh,Negatif,Positif
It's because of my red face. So it's better to have Mrs. Gemes packed.,Positif,Positif
service for the perfume dus for the perfume dus eflute cardboard material e flute production dus skincare box a1 e flute cardboard producer archive producer print cardboard archive producers,Netral,Netral
Wants to shop for electronic fashion. All the cheaper. Lazada99 sale.,Positif,Positif
can someone help me what skincare i should use don't suggest doctor spkk spud gin tuh if wash face hold smooth guys butt or why look at glass rich real gin,Positif,Positif
"As of tomorrow's twin date, let's get jajan skincare bodycare under price special 99 poor star seller price exclude admin 10 split pay keep dp 10k",Negatif,Positif
twosafeto oilyacneproneskin hmm ifthereare acne ifthere'sacne alsefocusfocus focusfocus foughtyfocus torevectle ifthere'sonly duered red Iam safe,Positif,Positif
170s 40ml ingredients are still worth yakk kepo I'm trying to have a real clinelle iih,Positif,Positif
print dus skincare e flute dus skittare e chocolate flute where packaging perfume flute perfume packaging e flute packing sample dus e flute manufacturer dus dus file the file file file file producer near the file price manufacturer,Positif,Positif
setwantsa beautifuldate buyapocalypse makessskincare yes don'tspr lalahaaa mim,Netral,Netral
Just found out it's gold. It's skincare.,Netral,Netral
dr dog partypora so morning repensedsssacrered I'mnotinface burntshit,Netral,Netral
nahhamdulillah I'vestartedthe Skincare meets Daily brarebarrierre labore topcalmssssentific sexactlyto,Netral,Netral
Home from work night. Hot shower. Shinat skittare bodycare.,Positif,Netral
Skincare electronic fashion shopping all fetching lazada99 sale There's lazmall voucher 20 100 free amp link sku direct cus,Positif,Positif
Want to upload a photo of Skincare an tkttjuk citizens heheh,Netral,Netral
Lazada99 Sale Skincare's favorite skintic-rich shop went down the crazy price. Enjoy the bonus sd 990rb for free.,Positif,Positif
"Thinking of buying any skincare, no end sure lazada99 sale is a lot of promo plus 100 free.",Positif,Positif
I'm not the type to skincare. Look at the price of gin. Lazada99 sale auto.,Netral,Netral
The local skincare acne fighter directly keinget lacoco is ill this is laco grape fruit acne fighter serum main ingredients grefruit the benefits of active amp embezzling dead cells,Negatif,Positif
The shopping lazada99 sale is really worth it for the lazmacher lazmall voucher 20 plus 100 for free.,Positif,Positif
Wow. Wow. Wow.,Positif,Netral
Trust me now. I want to buy skincare regularly. It's very lazmall voucher.,Positif,Netral
Baibuiin letthesalestof trading sowantto buymoreneed first,Positif,Netral
I like it. I love shopping. Lazada99.,Positif,Netral
Lazada99 Sale Yuuk guarantees hepi about many promo discount pull voucher bonus sd 990rb,Positif,Positif
end up shopping for lazada99 mega brands sale bonus sd 990rb crazy brand mega offer discount sd 90 free 100 lazmall voucher 20 sale quite enough to buy a pretty auto save price,Positif,Positif
Skincare exhausted,Negatif,Netral
It's the same thing as skincare snow snow ituuu that brand jadoel you know,Netral,Netral
whattryguyss shopping lazada99 sale the priceof murce oh100forfree ongkirstillmanyvoucher hurrycheckagain checkingskincare,Netral,Netral
I bought a skincare. Waiting for a discount for lazada99 sale. There's a lazmall voucher.,Netral,Positif
Lazada99 sale. It's getting easier to look for the crazy brand's favorite crazy brand mega offer discount sd 90 hurry.,Negatif,Positif
